
  9        1         7          1       7           0         17         0          13        0
 13        1         5          1      16           0         14         0          13        0
  6        1        14          1       9           0         19         0           9        0
  8        1        13          0       9           0          9         0          15        0
 10        1        16          0      11           0         11         0          10        0
  4        1        10          0      13           0         14         0          11        0
 14        1        12          0      15           0         10         0          12        0
  8        1        11          0      13           0         16         0           4        0
 11        1        14          0      10           0         10         0          14        0
  7        1        15          0      11           0         16         0          20        0
  9        1        18          0       6           0         14         0
